nemotecnico;fecha_emision;fecha_vencimiento;periodicidad;tasa_cupon;codigo_emisor;razon_social;moneda
BBPO2179C005;20170912;20220912;TV;3.25;BPO;BANCO POPULAR S.A.;COP
BBPO0116SB7;20161012;20231012;TV;8.1;BPO;BANCO POPULAR S.A.;COP
BBPO01169C10;20161012;20261012;TV;4.13;BPO;BANCO POPULAR S.A.;COP
BBOC6139BS12;20130130;20250130;TV;3.58;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC4179B096;20171012;20251012;TV;3.64;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC3169B120;20160610;20260610;TV;4.6;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC217SA060;20171214;20221214;TV;6.65;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC1209B144;20200820;20320820;TV;3.3;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC1209B072;20200820;20260820;TV;2.37;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC1208D036;20200820;20230820;MV;1.37;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC119SA060;20190918;20240918;TV;5.83;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC1199B120;20190918;20290918;TV;2.63;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC1199B036;20190918;20220918;TV;1.75;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC1179B144;20170427;20290427;TV;3.66;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC1179B084;20170427;20240427;TV;3.3;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC1069B144;20161026;20281026;TV;3.9;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC09159B12;20151119;20271119;TV;4.65;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC07149B10;20140508;20240508;TV;4;BOC;BANCO DE OCCIDENTE S.A.;COP
BBOC01129B15;20120809;20270809;TV;4.27;BOC;BANCO DE OCCIDENTE S.A.;COP
BBMM120SA003;20200212;20230212;TV;6.19;BMM;BANCO MUNDO MUJER S.A.;COP
BBGA2139120;20130219;20230219;TV;3.6;BGA;BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A. BBVA COLOMBIA;COP
BBCX121SB024;20210527;20230527;TV;4.35;BCX;BANCO DE COMERCIO EXTERIOR DE COLOMBIA S.A.;COP
BBCX1218C036;20210527;20240527;MV;1.7;BCX;BANCO DE COMERCIO EXTERIOR DE COLOMBIA S.A.;COP
BBCX1218C024;20210527;20230527;MV;1.53;BCX;BANCO DE COMERCIO EXTERIOR DE COLOMBIA S.A.;COP
BBCX09129B12;20120906;20220906;TV;4.02;BCX;BANCO DE COMERCIO EXTERIOR DE COLOMBIA S.A.;COP
BBCB1099B15;20090304;20240304;AV;6.9;BCB;BANCOLOMBIA S.A.;COP
BBCB03119D15;20111102;20261102;TV;4.62;BCB;BANCOLOMBIA S.A.;COP
BBCB03119D12;20111102;20231102;TV;4.45;BCB;BANCOLOMBIA S.A.;COP
BBCB02109D15;20110727;20260727;TV;4.6;BCB;BANCOLOMBIA S.A.;COP
BBCB01149D20;20140924;20340924;TV;4.79;BCB;BANCOLOMBIA S.A.;COP
BBBO221SE003;20210210;20240210;TV;3.4;BBO;BANCO DE BOGOTA S.A.;COP
BBBO2219A005;20210210;20260210;TV;1.16;BBO;BANCO DE BOGOTA S.A.;COP
BARG3209C007;20201028;20271028;TV;2.65;ARG;GRUPO ARGOS S.A.;COP
BARG219SA003;20190828;20220828;TV;5.78;ARG;GRUPO ARGOS S.A.;COP
BARG2199C006;20190828;20250828;TV;2.44;ARG;GRUPO ARGOS S.A.;COP
BARG01149D10;20140910;20240910;TV;3.95;ARG;GRUPO ARGOS S.A.;COP
